"[1.207823084768455, 0.030705887660733622, 0.18964269824246643, 1.129896158773587, 0.03077430279009579, 0.18963398464695677, 0.008413078529749853, -0.001644907916593324, -0.028801579387368034, 0.00886433446573825, -0.0023527912897411654]","[0.030705887660733622, 0.9752103149592626, -0.0946907002668167, 0.030693701498895304, 0.8972634299899037, -0.09469042467918157, -0.00438105897888305, 0.0014109747887496773, 0.003039277449474361, -0.0044023898051277445, 0.0015195765940748426]","[0.18964269824246643, -0.0946907002668167, 1.1952167260604494, 0.18970191641344664, -0.09425707402806635, 1.1170076585634028, -0.0031893156470020733, -0.007403457611933663, 0.012901514951666365, -0.0033094075821902317, -0.007148340985851782]","[1.129896158773587, 0.030693701498895304, 0.18970191641344664, 1.207811497295004, 0.030762135135646334, 0.1896931840416108, 0.008400668378190009, -0.0016461201036991296, -0.028794733285949597, 0.008851718412918954, -0.002353672213880548]","[0.03077430279009579, 0.8972634299899037, -0.09425707402806635, 0.030762135135646334, 0.975158565782152, -0.09425691279064685, -0.004378255502414068, 0.0014067372012620013, 0.0030448397076636735, -0.004399597658346047, 0.0015153746576195449]","[0.18963398464695677, -0.09469042467918157, 1.1170076585634028, 0.1896931840416108, -0.09425691279064685, 1.1946416306028478, -0.0031903227606146015, -0.007374177445293392, 0.012886540740782687, -0.0033101065972625703, -0.0071254734721728245]","[0.008413078529749853, -0.00438105897888305, -0.0031893156470020733, 0.008400668378190009, -0.004378255502414068, -0.0031903227606146015, 0.10895882702693796, -3.500932328335446e-05, -0.0006871832187206396, 0.030839815239569458, 0.00020512168496987943]","[-0.001644907916593324, 0.0014109747887496773, -0.007403457611933663, -0.0016461201036991296, 0.0014067372012620013, -0.007374177445293392, -3.500932328335446e-05, 0.09483188337570939, -0.0012552457885269556, -4.419522972412729e-05, 0.01461009061744075]","[-0.028801579387368034, 0.003039277449474361, 0.012901514951666365, -0.028794733285949597, 0.0030448397076636735, 0.012886540740782687, -0.0006871832187206396, -0.0012552457885269556, 0.19191410137576315, -0.0007547871329686681, -0.0008072143086877257]","[0.00886433446573825, -0.0044023898051277445, -0.0033094075821902317, 0.008851718412918954, -0.004399597658346047, -0.0033101065972625703, 0.030839815239569458, -4.419522972412729e-05, -0.0007547871329686681, 0.10917518289310515, 0.0002886198292421825]","[-0.0023527912897411654, 0.0015195765940748426, -0.007148340985851782, -0.002353672213880548, 0.0015153746576195449, -0.0071254734721728245, 0.00020512168496987943, 0.01461009061744075, -0.0008072143086877257, 0.0002886198292421825, 0.093626070382957]"
"[1.0765711902099406, 0.2916676186054051, 0.1638856818879379, 0.8642133218209487, 0.29163506028524244, 0.16381407651551744, 0.008711212481200943, -0.01452048018189505, 0.17355010525026646, 0.010527550731663709, -0.007096149286935789]","[0.2916676186054051, 0.41658083081764863, 0.016834347183705984, 0.2915645097848236, 0.2042066366271159, 0.01684415170329265, 0.010599472836572631, -0.005560631082622093, 0.08103608360059743, 0.0007937276652654853, -0.0007726159810036605]","[0.1638856818879379, 0.016834347183705984, 0.6854905056769769, 0.1639654572114132, 0.01709954342731137, 0.4728393162658847, -0.014123776892075321, -0.02084780955374058, 0.10814293825520488, 0.0020597616258350676, -0.0017521232679883498]","[0.8642133218209487, 0.2915645097848236, 0.1639654572114132, 1.0764959014990259, 0.29153183461923926, 0.163894101982604, 0.008643695162588087, -0.014512462795939457, 0.17366413433192304, 0.010532099818628422, -0.007099967019040114]","[0.29163506028524244, 0.2042066366271159, 0.01709954342731137, 0.29153183461923926, 0.41647223587922283, 0.017109128791100683, 0.010599519122729625, -0.005573240503002563, 0.08103293948851446, 0.0007931256537312599, -0.0007724596545841029]","[0.16381407651551744, 0.01684415170329265, 0.4728393162658847, 0.163894101982604, 0.017109128791100683, 0.6848289105539309, -0.014166760925037795, -0.02083051703402725, 0.10809929218614282, 0.00205815247176648, -0.0017507810119296418]","[0.008711212481200943, 0.010599472836572631, -0.014123776892075321, 0.008643695162588087, 0.010599519122729625, -0.014166760925037795, 0.22073754821329952, -0.0005887646695212785, -0.0085532860196263, -6.190939881972846e-05, -0.00013042636698964348]","[-0.01452048018189505, -0.005560631082622093, -0.02084780955374058, -0.014512462795939457, -0.005573240503002563, -0.02083051703402725, -0.0005887646695212785, 0.21496456831053434, -0.004694276844438681, 0.0007228700049812106, -0.001088285354040531]","[0.17355010525026646, 0.08103608360059743, 0.10814293825520488, 0.17366413433192304, 0.08103293948851446, 0.10809929218614282, -0.0085532860196263, -0.004694276844438681, 0.3008417446864221, 0.0026655244875326725, -0.002028082294210291]","[0.010527550731663709, 0.0007937276652654853, 0.0020597616258350676, 0.010532099818628422, 0.0007931256537312599, 0.00205815247176648, -6.190939881972846e-05, 0.0007228700049812106, 0.0026655244875326725, 0.21345148589659255, -0.001454654902058118]","[-0.007096149286935789, -0.0007726159810036605, -0.0017521232679883498, -0.007099967019040114, -0.0007724596545841029, -0.0017507810119296418, -0.00013042636698964348, -0.001088285354040531, -0.002028082294210291, -0.001454654902058118, 0.21443813582955612]"
"[0.5345719676875245, -0.24859361915124079, -0.16057451573391418, 0.19363726716694357, -0.24859259628320723, -0.16031319038208736, 0.0013127084043074745, 0.10724281376403783, 0.02992039153352335, 0.0012431197746060186, 0.10882735264534696]","[-0.24859361915124079, 1.0266029779816148, 0.12342222752378994, -0.2485842481018378, 0.6856871740245819, 0.12291498650643325, -0.0026836490026557864, -0.2391673697536185, -0.07096893856427008, -0.002670759766667315, -0.24142505781580728]","[-0.16057451573391418, 0.12342222752378994, 0.7729194396764814, -0.1605628804227472, 0.12343399560678657, 0.43206563712917767, 0.0005860832054643717, 0.00244035921905697, -0.022970990387310323, 0.0003891126449798106, 0.004792757402938384]","[0.19363726716694357, -0.2485842481018378, -0.1605628804227472, 0.5345371939693737, -0.2485832214563414, -0.16030159847431996, 0.0013135694907664833, 0.1072091434699332, 0.02991499375257588, 0.0012442214322477552, 0.10879689054635545]","[-0.24859259628320723, 0.6856871740245819, 0.12343399560678657, -0.2485832214563414, 1.0266059268127852, 0.12292664372266543, -0.0026836991820334173, -0.23920604138997634, -0.07096795116653834, -0.0026711650414278395, -0.2414674982337065]","[-0.16031319038208736, 0.12291498650643325, 0.43206563712917767, -0.16030159847431996, 0.12292664372266543, 0.7730581934527578, 0.0005868693400834392, 0.005794285710510801, -0.0232638140260045, 0.0003901673004542301, 0.008137150230224915]","[0.0013127084043074745, -0.0026836490026557864, 0.0005860832054643717, 0.0013135694907664833, -0.0026836991820334173, 0.0005868693400834392, 0.3430184087630347, 0.0007266535064550808, -0.00039987682531217013, 0.0017592108574910866, 0.0006853174900890372]","[0.10724281376403783, -0.2391673697536185, 0.00244035921905697, 0.1072091434699332, -0.23920604138997634, 0.005794285710510801, 0.0007266535064550808, 3.166612634508952, -0.1070082821533732, 0.0008169702765278853, 2.7966957391716942]","[0.02992039153352335, -0.07096893856427008, -0.022970990387310323, 0.02991499375257588, -0.07096795116653834, -0.0232638140260045, -0.00039987682531217013, -0.1070082821533732, 0.5660513834158573, -0.0006387335900989381, -0.12171236414877497]","[0.0012431197746060186, -0.002670759766667315, 0.0003891126449798106, 0.0012442214322477552, -0.0026711650414278395, 0.0003901673004542301, 0.0017592108574910866, 0.0008169702765278853, -0.0006387335900989381, 0.34410777775520873, 0.0008261398950044082]","[0.10882735264534696, -0.24142505781580728, 0.004792757402938384, 0.10879689054635545, -0.2414674982337065, 0.008137150230224915, 0.0006853174900890372, 2.7966957391716942, -0.12171236414877497, 0.0008261398950044082, 3.1836341854835797]"
"[0.5085551395455443, -0.10395626104952826, 0.03559804964030046, 0.272128143063341, -0.10393990590213349, 0.03565409992309305, -0.045409438386580576, 0.005609016083497386, -0.01174288944411296, -0.05608039608670237, 0.007124236060201661]","[-0.10395626104952826, 0.8705365877504807, 0.3047672239691427, -0.10401730442399829, 0.6342123213860584, 0.3047343074824514, 0.17337858711027962, -0.005885965205018968, 0.008434162006675218, 0.17804359324789926, -0.0064337086212275475]","[0.03559804964030046, 0.3047672239691427, 0.555051021164793, 0.03551008493539436, 0.3048721526002021, 0.31859437764023746, 0.11422613175406644, -0.004546542129346336, -0.014331184485457484, 0.1129435932222064, -0.004624030081034387]","[0.272128143063341, -0.10401730442399829, 0.03551008493539436, 0.5085524793949441, -0.10400095364348022, 0.03556619337360106, -0.045423757182969815, 0.005614534839211386, -0.011669897980600523, -0.056086989290448516, 0.007130594904407388]","[-0.10393990590213349, 0.6342123213860584, 0.3048721526002021, -0.10400095364348022, 0.870739298688266, 0.3048392732274806, 0.17341400610002136, -0.005888768845919411, 0.008463693767512426, 0.1780776436929969, -0.006436293152987196]","[0.03565409992309305, 0.3047343074824514, 0.31859437764023746, 0.03556619337360106, 0.3048392732274806, 0.5549903120148024, 0.11423547781940152, -0.0044792939271957495, -0.014279132467646533, 0.11294007524019462, -0.0045666842488829565]","[-0.045409438386580576, 0.17337858711027962, 0.11422613175406644, -0.045423757182969815, 0.17341400610002136, 0.11423547781940152, 0.5134199556159844, 0.018495803574944913, -0.014509417803151224, 0.23357793075372366, 0.017808671801755077]","[0.005609016083497386, -0.005885965205018968, -0.004546542129346336, 0.005614534839211386, -0.005888768845919411, -0.0044792939271957495, 0.018495803574944913, 0.27749035304134034, -9.130795488731459e-05, 0.013647112384415341, 0.03653507746445391]","[-0.01174288944411296, 0.008434162006675218, -0.014331184485457484, -0.011669897980600523, 0.008463693767512426, -0.014279132467646533, -0.014509417803151224, -9.130795488731459e-05, 0.4127648803999346, -0.0104365628575448, 0.0012614639775542108]","[-0.05608039608670237, 0.17804359324789926, 0.1129435932222064, -0.056086989290448516, 0.1780776436929969, 0.11294007524019462, 0.23357793075372366, 0.013647112384415341, -0.0104365628575448, 0.5184371085901534, 0.013935266169414566]","[0.007124236060201661, -0.0064337086212275475, -0.004624030081034387, 0.007130594904407388, -0.006436293152987196, -0.0045666842488829565, 0.017808671801755077, 0.03653507746445391, 0.0012614639775542108, 0.013935266169414566, 0.2767012317757802]"
"[0.6283446283752523, 0.07913499835329157, 0.043470607471718034, 0.33887840392258245, 0.07916083256999644, 0.04865503174533403, -0.01244420528349647, 0.02415435161197656, 0.00524450977432566, -0.01954589290885732, 0.012708796628869631]","[0.07913499835329157, 1.175709079652251, -0.11730950012947419, 0.07903597114727039, 0.8861865276219031, -0.12376169240633346, 0.25819937049348546, 0.006099687960075092, -0.05412899744510088, 0.25495372835216146, 0.009675978721278974]","[0.043470607471718034, -0.11730950012947419, 0.5672721336869442, 0.043643858627241974, -0.1172269150671512, 0.27006712539278827, -0.10638111784218461, 0.04800934881079366, 0.05629403822166887, -0.10417288664868055, 0.04640542362608143]","[0.33887840392258245, 0.07903597114727039, 0.043643858627241974, 0.628378102587765, 0.07906182518309035, 0.04884226232343972, -0.012551923862224914, 0.024163087438641352, 0.005282044815947358, -0.019649339164178402, 0.012716151344370527]","[0.07916083256999644, 0.8861865276219031, -0.1172269150671512, 0.07906182518309035, 1.1756297206505966, -0.12368147994352734, 0.25814926844558167, 0.006122808559849984, -0.05414555901323374, 0.25490404979772324, 0.009694274400885673]","[0.04865503174533403, -0.12376169240633346, 0.27006712539278827, 0.04884226232343972, -0.12368147994352734, 0.5648185080960981, -0.11456866162965398, 0.03958321306580382, 0.0499376574598589, -0.11237875533083867, 0.037957005112864366]","[-0.01244420528349647, 0.25819937049348546, -0.10638111784218461, -0.012551923862224914, 0.25814926844558167, -0.11456866162965398, 0.7623682893324044, 0.15368844622103936, -0.0042055139209662765, 0.44249319164490225, 0.16730921273407112]","[0.02415435161197656, 0.006099687960075092, 0.04800934881079366, 0.024163087438641352, 0.006122808559849984, 0.03958321306580382, 0.15368844622103936, 0.6869643211517229, 0.03412285125302499, 0.1481568205636633, 0.34169749404722466]","[0.00524450977432566, -0.05412899744510088, 0.05629403822166887, 0.005282044815947358, -0.05414555901323374, 0.0499376574598589, -0.0042055139209662765, 0.03412285125302499, 0.501264263579507, -0.004224486003762234, 0.03015748593497614]","[-0.01954589290885732, 0.25495372835216146, -0.10417288664868055, -0.019649339164178402, 0.25490404979772324, -0.11237875533083867, 0.44249319164490225, 0.1481568205636633, -0.004224486003762234, 0.7563652486244155, 0.17916287437127712]","[0.012708796628869631, 0.009675978721278974, 0.04640542362608143, 0.012716151344370527, 0.009694274400885673, 0.037957005112864366, 0.16730921273407112, 0.34169749404722466, 0.03015748593497614, 0.17916287437127712, 0.68218934495158]"
"[0.9394971613995533, 0.4039160000564053, -0.4880286616804445, 0.8312108415059226, 0.40367706646406026, -0.6156167951360307, 0.008075685302512705, -0.009529124492942525, -0.08796102509620135, 0.05382117230902484, -0.11847416289874382]","[0.4039160000564053, 0.7463839280591286, -0.2499841953750123, 0.40407357955844275, 0.6378571229855602, -0.3067888154651339, 0.006962816557165406, -0.009626026211717051, -0.08686478134103977, 0.2154275694400396, -0.44584831852183204]","[-0.4880286616804445, -0.2499841953750123, 0.8145646457248139, -0.4880753695201392, -0.24974793701370596, 0.576918105349492, -0.002683747581971351, 0.0032396001119875456, 0.05898720337636184, 0.0020290655125832038, 0.0041242306453647595]","[0.8312108415059226, 0.40407357955844275, -0.4880753695201392, 0.9398156229181001, 0.4038345920135985, -0.6157868951308334, 0.0080866300450321, -0.009541985506903218, -0.0877394807984698, 0.05384107888408057, -0.11849420271171046]","[0.40367706646406026, 0.6378571229855602, -0.24974793701370596, 0.4038345920135985, 0.7462209434461947, -0.30653894334850434, 0.0069561163829394874, -0.009618076727183409, -0.08688041890550165, 0.21543182378815529, -0.4458682980754648]","[-0.6156167951360307, -0.3067888154651339, 0.576918105349492, -0.6157868951308334, -0.30653894334850434, 0.8636321603183722, 0.00089554239486525, -0.0010000641594376666, 0.08533503570347048, 0.033626407142478144, -0.0623249701664709]","[0.008075685302512705, 0.006962816557165406, -0.002683747581971351, 0.0080866300450321, 0.0069561163829394874, 0.00089554239486525, 0.1239243187263693, -0.019431741875244688, -0.000186581139582186, 0.0066096563596516646, 0.0006056121021971722]","[-0.009529124492942525, -0.009626026211717051, 0.0032396001119875456, -0.009541985506903218, -0.009618076727183409, -0.0010000641594376666, -0.019431741875244688, 0.13491580057077315, -0.0005289445508242671, -0.008970135879919502, 0.0027839150131507705]","[-0.08796102509620135, -0.08686478134103977, 0.05898720337636184, -0.0877394807984698, -0.08688041890550165, 0.08533503570347048, -0.000186581139582186, -0.0005289445508242671, 0.4228032799371806, -0.01621951955491008, 0.05487018495418261]","[0.05382117230902484, 0.2154275694400396, 0.0020290655125832038, 0.05384107888408057, 0.21543182378815529, 0.033626407142478144, 0.0066096563596516646, -0.008970135879919502, -0.01621951955491008, 0.3413327597504473, -0.4819553862086592]","[-0.11847416289874382, -0.44584831852183204, 0.0041242306453647595, -0.11849420271171046, -0.4458682980754648, -0.0623249701664709, 0.0006056121021971722, 0.0027839150131507705, 0.05487018495418261, -0.4819553862086592, 1.1637421397270034]"
"[0.46353813533528787, 0.11114930557470146, -0.0854120303501599, 0.22966757043138478, 0.11110715488943658, -0.08538512102622804, -0.14168983973356178, 0.0013807320107409808, -0.05787096981305276, -0.14353996839943212, -0.0033439102639184638]","[0.11114930557470146, 0.4600306114203212, -0.07168469211840552, 0.11118351396490068, 0.2260331944255745, -0.071681914968891, -0.10200161247574317, -0.003518188149839706, -0.027462261374680753, -0.102199760993291, -0.0016122613558260306]","[-0.0854120303501599, -0.07168469211840552, 0.3820506531892537, -0.08556751556494611, -0.07166644826101402, 0.14806849902211577, 0.09714420330455258, 0.0017773515963959358, 0.04254132144241925, 0.09832597492722171, 0.005001660205607153]","[0.22966757043138478, 0.11118351396490068, -0.08556751556494611, 0.46370518030980723, 0.11114138124520868, -0.08554056067513154, -0.14179243855232176, 0.0013805972275442522, -0.05796587242694202, -0.14364382724506888, -0.003348786577640335]","[0.11110715488943658, 0.2260331944255745, -0.07166644826101402, 0.11114138124520868, 0.459943644737344, -0.07166367737960364, -0.1019578694174436, -0.0035198038233651857, -0.027409428643248062, -0.10215614415204195, -0.0016143792535072952]","[-0.08538512102622804, -0.071681914968891, 0.14806849902211577, -0.08554056067513154, -0.07166367737960364, 0.38199464999107713, 0.09714717687333606, 0.0018236944287232768, 0.04256008342058004, 0.09832486345686064, 0.005040351613928616]","[-0.14168983973356178, -0.10200161247574317, 0.09714420330455258, -0.14179243855232176, -0.1019578694174436, 0.09714717687333606, 0.4677459496360932, 0.012530071367567772, 0.07867301660394861, 0.23403948262033444, 0.01611212275792893]","[0.0013807320107409808, -0.003518188149839706, 0.0017773515963959358, 0.0013805972275442522, -0.0035198038233651857, 0.0018236944287232768, 0.012530071367567772, 0.26245686427016335, -0.0005116887317540482, 0.011366934159171818, 0.025012337436991154]","[-0.05787096981305276, -0.027462261374680753, 0.04254132144241925, -0.05796587242694202, -0.027409428643248062, 0.04256008342058004, 0.07867301660394861, -0.0005116887317540482, 0.44001580759904524, 0.08057573519951426, 0.003551336350922241]","[-0.14353996839943212, -0.102199760993291, 0.09832597492722171, -0.14364382724506888, -0.10215614415204195, 0.09832486345686064, 0.23403948262033444, 0.011366934159171818, 0.08057573519951426, 0.4736341880657871, 0.018565515048756143]","[-0.0033439102639184638, -0.0016122613558260306, 0.005001660205607153, -0.003348786577640335, -0.0016143792535072952, 0.005040351613928616, 0.01611212275792893, 0.025012337436991154, 0.003551336350922241, 0.018565515048756143, 0.26821811967510645]"
"[0.9031853272349587, 0.08392310170443316, -0.10149849715890423, 0.8850835769738277, 0.08386969368586358, -0.10210011860261106, 0.04636997452130142, -0.058846886960969534, -0.023957899110196107, 0.04728047004892986, -0.060564920175410895]","[0.08392310170443316, 0.9921136175580053, -0.11840804581912057, 0.0840853459861547, 0.9739086985078512, -0.11930733478427066, 0.012749529904885972, -0.02881982509973343, 0.011626581617384673, 0.013101518921566002, -0.029518916364279866]","[-0.10149849715890423, -0.11840804581912057, 1.0251424521413781, -0.10150668422019457, -0.11807304773504727, 1.0065581842196452, -0.010456535218407791, -0.007550213890281167, 0.007868498866990405, -0.011486948074290612, -0.007228326307286521]","[0.8850835769738277, 0.0840853459861547, -0.10150668422019457, 0.9032802950782197, 0.08403195737496047, -0.10211027347370603, 0.04637621611102987, -0.058863671217908024, -0.023944153683211334, 0.04728662964679523, -0.060581558606134574]","[0.08386969368586358, 0.9739086985078512, -0.11807304773504727, 0.08403195737496047, 0.9920020769980294, -0.1189725491383074, 0.0127365505578857, -0.028806086531056103, 0.011637890582996357, 0.01308786534436563, -0.02950489526239525]","[-0.10210011860261106, -0.11930733478427066, 1.0065581842196452, -0.10211027347370603, -0.1189725491383074, 1.0272651126324162, -0.009985352034791164, -0.008099116043488295, 0.008148267301963899, -0.011004678439054682, -0.0077899908249937965]","[0.04636997452130142, 0.012749529904885972, -0.010456535218407791, 0.04637621611102987, 0.0127365505578857, -0.009985352034791164, 0.1523770394216844, -0.1505868991956439, 0.010111321500373863, 0.13500182634358002, -0.15154196971446798]","[-0.058846886960969534, -0.02881982509973343, -0.007550213890281167, -0.058863671217908024, -0.028806086531056103, -0.008099116043488295, -0.1505868991956439, 0.21982200933470109, -0.011695360290008722, -0.15131945541999936, 0.2030427405666929]","[-0.023957899110196107, 0.011626581617384673, 0.007868498866990405, -0.023944153683211334, 0.011637890582996357, 0.008148267301963899, 0.010111321500373863, -0.011695360290008722, 0.14616661831406821, 0.010104680774754635, -0.011578760704161944]","[0.04728047004892986, 0.013101518921566002, -0.011486948074290612, 0.04728662964679523, 0.01308786534436563, -0.011004678439054682, 0.13500182634358002, -0.15131945541999936, 0.010104680774754635, 0.15429204304009117, -0.15284217832536043]","[-0.060564920175410895, -0.029518916364279866, -0.007228326307286521, -0.060581558606134574, -0.02950489526239525, -0.0077899908249937965, -0.15154196971446798, 0.2030427405666929, -0.011578760704161944, -0.15284217832536043, 0.22397040716458524]"
"[1.2699600140138343, -0.22561826817726108, -0.03445120104006674, 0.7981798270473967, -0.22558799415088016, -0.03435384529802099, 0.22638056987826963, 0.19074214043111326, -0.06885283330807898, 0.07953765335714977, -0.12684877302271994]","[-0.22561826817726108, 1.6656955930557145, 0.09069721668034157, -0.22568163548633352, 1.1938096501584103, 0.09089921072966672, -0.08098542281751255, -0.07239597008632051, 0.07929371302819167, 0.005601660092885691, 0.13463993148251488]","[-0.03445120104006674, 0.09069721668034157, 0.662238542753429, -0.03467556877719782, 0.09068061380971598, 0.19048578334959404, 0.019836042627767548, 0.06306155498155835, 0.013201621249578292, -0.04530220092977807, -0.10097331531639019]","[0.7981798270473967, -0.22568163548633352, -0.03467556877719782, 1.2700437125882291, -0.22565135253543286, -0.03457814167150603, 0.22639548600370668, 0.19074283208037812, -0.06887872118466433, 0.07955383940599511, -0.12677920667509482]","[-0.22558799415088016, 1.1938096501584103, 0.09068061380971598, -0.22565135253543286, 1.665567450173909, 0.0908828298357199, -0.0809512321908319, -0.07237069313370001, 0.07933089234834464, 0.005566864172078552, 0.13460946058154985]","[-0.03435384529802099, 0.09089921072966672, 0.19048578334959404, -0.03457814167150603, 0.0908828298357199, 0.6623821260432305, 0.02060610822749661, 0.06450935644520439, 0.013587934446816267, -0.046285828611578685, -0.10242255858655556]","[0.22638056987826963, -0.08098542281751255, 0.019836042627767548, 0.22639548600370668, -0.0809512321908319, 0.02060610822749661, 0.9817996068726491, 0.5117572381264093, 0.023933085994586933, -0.16080561186603243, -0.38372624596018656]","[0.19074214043111326, -0.07239597008632051, 0.06306155498155835, 0.19074283208037812, -0.07237069313370001, 0.06450935644520439, 0.5117572381264093, 1.3482799488298112, 0.007717263261875547, -0.3280714948576503, -0.6307541098762078]","[-0.06885283330807898, 0.07929371302819167, 0.013201621249578292, -0.06887872118466433, 0.07933089234834464, 0.013587934446816267, 0.023933085994586933, 0.007717263261875547, 0.5983606972057602, -0.06342927995150795, -0.023058808484290393]","[0.07953765335714977, 0.005601660092885691, -0.04530220092977807, 0.07955383940599511, 0.005566864172078552, -0.046285828611578685, -0.16080561186603243, -0.3280714948576503, -0.06342927995150795, 0.8342609131107548, 0.44964875092873086]","[-0.12684877302271994, 0.13463993148251488, -0.10097331531639019, -0.12677920667509482, 0.13460946058154985, -0.10242255858655556, -0.38372624596018656, -0.6307541098762078, -0.023058808484290393, 0.44964875092873086, 1.3412908440551046]"
"[1.4681764271792948, -0.26299628106211964, 0.5594928016101904, 1.1662124611333176, -0.2627531549695981, 0.5589072975473636, 0.09638745212198697, 0.12885649321592493, -0.04250261854050331, 0.09734350246349474, 0.12978550459596516]","[-0.26299628106211964, 1.4304509478250622, -0.12284900023540878, -0.26321146872750334, 1.1283654951268909, -0.12269649010651257, -0.042789772645117956, -0.06989540197121569, 0.033050674114658944, -0.04290168372940784, -0.07030760092311682]","[0.5594928016101904, -0.12284900023540878, 1.394461592402076, 0.5594962980966218, -0.12252203546204803, 1.0920541705474252, 0.02189782428509729, 0.041381582164840426, -0.01437116022049658, 0.021998593214990893, 0.041550884869437185]","[1.1662124611333176, -0.26321146872750334, 0.5594962980966218, 1.4683193942996413, -0.26296831059228726, 0.5589108304283734, 0.09640862173567935, 0.12890039633443998, -0.0424917275859689, 0.09736505039362102, 0.12983020479401455]","[-0.2627531549695981, 1.1283654951268909, -0.12252203546204803, -0.26296831059228726, 1.4303506656251894, -0.12236966355395429, -0.042762027937569586, -0.06985648170526433, 0.03304026630072683, -0.04287360897652744, -0.07026805986944176]","[0.5589072975473636, -0.12269649010651257, 1.0920541705474252, 0.5589108304283734, -0.12236966355395429, 1.393721730668013, 0.021916397226186615, 0.04145690266831326, -0.013950718837595496, 0.022015773808265856, 0.04162344141877063]","[0.09638745212198697, -0.042789772645117956, 0.02189782428509729, 0.09640862173567935, -0.042762027937569586, 0.021916397226186615, 0.4148803700930937, 0.1313862141712571, -0.005937161228686272, 0.11362815371933206, 0.13228594574521427]","[0.12885649321592493, -0.06989540197121569, 0.041381582164840426, 0.12890039633443998, -0.06985648170526433, 0.04145690266831326, 0.1313862141712571, 0.486562818428797, 0.002652283808010302, 0.13230849524347846, 0.18568597575558854]","[-0.04250261854050331, 0.033050674114658944, -0.01437116022049658, -0.0424917275859689, 0.03304026630072683, -0.013950718837595496, -0.005937161228686272, 0.002652283808010302, 0.46528309468368534, -0.005879339424053763, 0.0025170767686235346]","[0.09734350246349474, -0.04290168372940784, 0.021998593214990893, 0.09736505039362102, -0.04287360897652744, 0.022015773808265856, 0.11362815371933206, 0.13230849524347846, -0.005879339424053763, 0.4165786761253215, 0.133270196783149]","[0.12978550459596516, -0.07030760092311682, 0.041550884869437185, 0.12983020479401455, -0.07026805986944176, 0.04162344141877063, 0.13228594574521427, 0.18568597575558854, 0.0025170767686235346, 0.133270196783149, 0.48907339863046584]"
