"[0.5687641871252408, 0.20974032422628794, 0.08704025440925865, 0.4262386157269022, 0.2097271858150936, 0.08699077505659016, -0.019184506017569332, 0.01748336817531743, -0.003104047591257366]","[0.20974032422628794, 1.0133000096093854, 0.20362194529542393, 0.20974368048977837, 0.8707776217712684, 0.20346891306679507, -0.01885080731361278, 0.022461037234022697, -0.00524758509634392]","[0.08704025440925865, 0.20362194529542393, 1.265950394661989, 0.08706567449942497, 0.20360397271832956, 1.1226780207045883, -0.005116781922927696, -0.024712539740375235, -0.0029176945038674926]","[0.4262386157269022, 0.20974368048977837, 0.08706567449942497, 0.5687389897854814, 0.20973052833586253, 0.08701622190222377, -0.019172081214379612, 0.01748152648289555, -0.00310720958253256]","[0.2097271858150936, 0.8707776217712684, 0.20360397271832956, 0.20973052833586253, 1.0132810171285322, 0.20345094796139582, -0.01885728735104015, 0.022462449316292803, -0.005248975501425269]","[0.08699077505659016, 0.20346891306679507, 1.1226780207045883, 0.08701622190222377, 0.20345094796139582, 1.2644325864597952, -0.00511487085427547, -0.024690972361398243, -0.0029244150852940536]","[-0.019184506017569332, -0.01885080731361278, -0.005116781922927696, -0.019172081214379612, -0.01885728735104015, -0.00511487085427547, 0.2278593023813092, -0.0020314761950981407, 0.0008383754041712581]","[0.01748336817531743, 0.022461037234022697, -0.024712539740375235, 0.01748152648289555, 0.022462449316292803, -0.024690972361398243, -0.0020314761950981407, 0.18631455931714197, -0.0038948414862403666]","[-0.003104047591257366, -0.00524758509634392, -0.0029176945038674926, -0.00310720958253256, -0.005248975501425269, -0.0029244150852940536, 0.0008383754041712581, -0.0038948414862403666, 0.16757007326720547]"
"[0.08253593929238862, -0.024646544538416304, -0.026281219716844148, 0.04150607157554682, -0.024639742357864966, -0.028695932813065504, -0.011490017552471506, -0.0005242187160030967, -0.0018721907472873617]","[-0.024646544538416304, 0.8615060930234112, 0.119530070820981, -0.024683862121568926, 0.8204963871898299, 0.11951139872999976, 0.08935936273680763, -0.0003745495712389832, 0.005410425747165706]","[-0.026281219716844148, 0.119530070820981, 0.21578523051138668, -0.026280640918218044, 0.11954703389871311, 0.17978601762699342, 0.012833157773483154, 0.02299305289338897, -0.02931521999609317]","[0.04150607157554682, -0.024683862121568926, -0.026280640918218044, 0.08253767237809456, -0.024677094644064503, -0.028695438374296268, -0.011514770704764919, -0.000520232849024317, -0.0018781662640918627]","[-0.024639742357864966, 0.8204963871898299, 0.11954703389871311, -0.024677094644064503, 0.8615481241085282, 0.11952861596691965, 0.08937000657128015, -0.00036993769971179635, 0.005407219728144636]","[-0.028695932813065504, 0.11951139872999976, 0.17978601762699342, -0.028695438374296268, 0.11952861596691965, 0.23041654338715942, 0.011611004854909257, 0.02261518619892448, -0.028880859021237642]","[-0.011490017552471506, 0.08935936273680763, 0.012833157773483154, -0.011514770704764919, 0.08937000657128015, 0.011611004854909257, 0.15244330336801348, -0.006517869378099927, 0.009767141365531211]","[-0.0005242187160030967, -0.0003745495712389832, 0.02299305289338897, -0.000520232849024317, -0.00036993769971179635, 0.02261518619892448, -0.006517869378099927, 0.07541087846608996, -0.042316728768342964]","[-0.0018721907472873617, 0.005410425747165706, -0.02931521999609317, -0.0018781662640918627, 0.005407219728144636, -0.028880859021237642, 0.009767141365531211, -0.042316728768342964, 0.09752486732432988]"
"[0.22597838069722415, 0.014506119519341653, 0.014161317684721154, 0.08950480844558589, 0.014504940638748841, 0.01411865214992513, -0.04039383115354213, 0.0329011271327942, 0.12532153796697915]","[0.014506119519341653, 0.20681560434114354, 0.01635430594219741, 0.014503748219903913, 0.07034292139672742, 0.01635581764775162, -0.044075230317064916, -0.005227973826822405, -0.07266013538550624]","[0.014161317684721154, 0.01635430594219741, 0.2585979760748168, 0.01416957913869608, 0.016358351169387463, 0.12211497018029123, -0.027001057805190503, 0.030971087990556357, -0.069790202047597]","[0.08950480844558589, 0.014503748219903913, 0.01416957913869608, 0.22597167697655463, 0.014502576526312178, 0.014126952511105847, -0.040394536024004966, 0.032901186025838, 0.12530432812617529]","[0.014504940638748841, 0.07034292139672742, 0.016358351169387463, 0.014502576526312178, 0.20681067309125625, 0.01635986909219065, -0.04407128580555304, -0.005227085223075095, -0.07265097389584116]","[0.01411865214992513, 0.01635581764775162, 0.12211497018029123, 0.014126952511105847, 0.01635986909219065, 0.2585736716078177, -0.0269626045118933, 0.030949562906372467, -0.06998028654374809]","[-0.04039383115354213, -0.044075230317064916, -0.027001057805190503, -0.040394536024004966, -0.04407128580555304, -0.0269626045118933, 0.34210219464357094, -0.013832641974188707, -0.01821326587776628]","[0.0329011271327942, -0.005227973826822405, 0.030971087990556357, 0.032901186025838, -0.005227085223075095, 0.030949562906372467, -0.013832641974188707, 0.18897442788759194, 0.056126073100839294]","[0.12532153796697915, -0.07266013538550624, -0.069790202047597, 0.12530432812617529, -0.07265097389584116, -0.06998028654374809, -0.01821326587776628, 0.056126073100839294, 0.823725870702736]"
"[0.9587256353616083, -0.0025773140025261644, -0.07035494131526912, 0.5329831778725238, -0.002572468634998507, -0.07037082901948863, -0.11141203346180839, -0.5303801594152934, 0.01618002179102355]","[-0.0025773140025261644, 0.4990822898255136, 0.0316517374371624, -0.0025684014516752763, 0.07330737731055484, 0.03164494703726988, 0.03726792033354068, -0.008904009160724606, 0.007251312634415892]","[-0.07035494131526912, 0.0316517374371624, 0.6345627956613449, -0.07039456925783524, 0.03166237166601478, 0.20864311737731342, 0.04224256534345589, 0.06364716566984358, 0.05052870960716949]","[0.5329831778725238, -0.0025684014516752763, -0.07039456925783524, 0.9588014038023392, -0.0025635304500824657, -0.07041040082723825, -0.11136020759559673, -0.5304232934318258, 0.016170933510469238]","[-0.002572468634998507, 0.07330737731055484, 0.03166237166601478, -0.0025635304500824657, 0.4990929657824995, 0.031655651419592465, 0.03729569969880517, -0.008911864561940134, 0.007253556777117317]","[-0.07037082901948863, 0.03164494703726988, 0.20864311737731342, -0.07041040082723825, 0.031655651419592465, 0.6342853325224511, 0.04236536262811116, 0.06373534310044346, 0.050510526025726345]","[-0.11141203346180839, 0.03726792033354068, 0.04224256534345589, -0.11136020759559673, 0.03729569969880517, 0.04236536262811116, 0.821760099272898, 0.12132155564905224, 0.01930787265351165]","[-0.5303801594152934, -0.008904009160724606, 0.06364716566984358, -0.5304232934318258, -0.008911864561940134, 0.06373534310044346, 0.12132155564905224, 1.388532564692945, -0.04457386500950247]","[0.01618002179102355, 0.007251312634415892, 0.05052870960716949, 0.016170933510469238, 0.007253556777117317, 0.050510526025726345, 0.01930787265351165, -0.04457386500950247, 0.5292909814224533]"
"[0.4336613479966043, -0.010257315172227164, -0.04547101127285624, 0.27696890188344747, -0.01026431057555963, -0.045405964313638476, -0.0074599950676271344, -0.04069625235770569, -0.028887573648657832]","[-0.010257315172227164, 0.46810390167004984, -0.11413239156583575, -0.010235080613907873, 0.3114106931066108, -0.11407081279975916, 0.007303028878262096, -0.0197003478592421, -0.10030724316238371]","[-0.04547101127285624, -0.11413239156583575, 0.4180766103733002, -0.0454974122614695, -0.11413473329804699, 0.2612060132084593, 0.002858706865127598, -0.052529485573599134, -0.03553121344953547]","[0.27696890188344747, -0.010235080613907873, -0.0454974122614695, 0.43366370497359075, -0.01024205930314669, -0.04543242517715661, -0.007452156195993633, -0.04068971015464984, -0.028886014582786296]","[-0.01026431057555963, 0.3114106931066108, -0.11413473329804699, -0.01024205930314669, 0.4681045930418362, -0.11407331341605433, 0.007330540624444948, -0.019697896292336734, -0.10029620904007658]","[-0.045405964313638476, -0.11407081279975916, 0.2612060132084593, -0.04543242517715661, -0.11407331341605433, 0.41772598349243323, 0.0027814889887404133, -0.052516213334156625, -0.03555382764286916]","[-0.0074599950676271344, 0.007303028878262096, 0.002858706865127598, -0.007452156195993633, 0.007330540624444948, 0.0027814889887404133, 0.2779171181124538, 0.005823175358128927, 0.020558348774112185]","[-0.04069625235770569, -0.0197003478592421, -0.052529485573599134, -0.04068971015464984, -0.019697896292336734, -0.052516213334156625, 0.005823175358128927, 0.36796445909052167, 0.3450003328215541]","[-0.028887573648657832, -0.10030724316238371, -0.03553121344953547, -0.028886014582786296, -0.10029620904007658, -0.03555382764286916, 0.020558348774112185, 0.3450003328215541, 1.1992830876808291]"
"[1.206873699356665, -0.1907725208689718, -0.008376738791380674, 1.016893627387222, -0.19078681220758623, -0.00844961326289589, -0.047119656053302, 0.037792430609059784, 0.034901429021849575]","[-0.1907725208689718, 1.5015324016329503, 0.25069264339272146, -0.19072118905578125, 1.3115816179667492, 0.25058813883690845, 0.022214468333965814, -0.05214992351240478, -0.05153481867514711]","[-0.008376738791380674, 0.25069264339272146, 0.533408418078616, -0.008354524481040924, 0.25069323506913516, 0.3432997485040071, -0.008471066288930101, -0.06716128764169646, -0.09676684010620802]","[1.016893627387222, -0.19072118905578125, -0.008354524481040924, 1.2068064187641003, -0.19073548234402624, -0.008427322688070029, -0.047134474728750146, 0.03779261663268394, 0.03490163610189091]","[-0.19078681220758623, 1.3115816179667492, 0.25069323506913516, -0.19073548234402624, 1.5015235611186184, 0.2505890139686846, 0.022197652888851595, -0.052151541274545264, -0.0515382563189085]","[-0.00844961326289589, 0.25058813883690845, 0.3432997485040071, -0.008427322688070029, 0.2505890139686846, 0.5330866606244629, -0.00859935601828783, -0.06713721111448656, -0.09673197549686495]","[-0.047119656053302, 0.022214468333965814, -0.008471066288930101, -0.047134474728750146, 0.022197652888851595, -0.00859935601828783, 0.31002153738873894, 0.002104393248604696, 0.005404114515576281]","[0.037792430609059784, -0.05214992351240478, -0.06716128764169646, 0.03779261663268394, -0.052151541274545264, -0.06713721111448656, 0.002104393248604696, 0.2595190528679946, 0.08970660035558219]","[0.034901429021849575, -0.05153481867514711, -0.09676684010620802, 0.03490163610189091, -0.0515382563189085, -0.09673197549686495, 0.005404114515576281, 0.08970660035558219, 0.320503131915726]"
"[0.5032428568872152, -0.02413619240325997, 0.054041383900357315, 0.019809302594749927, -0.0241411810835759, 0.054043789213147814, -0.03627926710255164, 0.053405771783424746, 0.029954320226126593]","[-0.02413619240325997, 0.573634211396594, -0.01902068685558589, -0.024178091660143362, 0.09019230598830334, -0.019190207357436852, 0.11345944128299691, -0.1682130326294361, -0.12081461105136608]","[0.054041383900357315, -0.01902068685558589, 0.7363940416624619, 0.05399813838922901, -0.01905043229180777, 0.25266211423042895, -0.007575179720898597, 0.013678429551005723, -0.015922219298844555]","[0.019809302594749927, -0.024178091660143362, 0.05399813838922901, 0.5032618082911031, -0.02418293818295622, 0.054001726133984136, -0.03645740671760998, 0.05361058313726662, 0.030073437142517277]","[-0.0241411810835759, 0.09019230598830334, -0.01905043229180777, -0.02418293818295622, 0.5736360208356591, -0.019219625340540725, 0.11343674224114329, -0.1681793564490098, -0.1207980900836059]","[0.054043789213147814, -0.019190207357436852, 0.25266211423042895, 0.054001726133984136, -0.019219625340540725, 0.7358224392462758, -0.008478676448730444, 0.014320129418441685, -0.015526970617789782]","[-0.03627926710255164, 0.11345944128299691, -0.007575179720898597, -0.03645740671760998, 0.11343674224114329, -0.008478676448730444, 0.8961571721469276, -0.37323225739102556, -0.23631311836571997]","[0.053405771783424746, -0.1682130326294361, 0.013678429551005723, 0.05361058313726662, -0.1681793564490098, 0.014320129418441685, -0.37323225739102556, 1.0395887327336115, 0.37097254133711577]","[0.029954320226126593, -0.12081461105136608, -0.015922219298844555, 0.030073437142517277, -0.1207980900836059, -0.015526970617789782, -0.23631311836571997, 0.37097254133711577, 0.7710840508985406]"
"[0.554353087012431, 0.06898955657190019, -0.009441181096449295, 0.08322299233735479, 0.06898561433361615, -0.009433221834066481, 0.0007272021495480967, -0.02144958768606035, 0.009196897784534492]","[0.06898955657190019, 1.2030440713123336, -0.1299408676998242, 0.06898406962427908, 0.7318980378050312, -0.12985869309145429, 0.014384089526834684, -0.07727646400312624, 0.004547945206617399]","[-0.009441181096449295, -0.1299408676998242, 0.5497487894962382, -0.009436726225883726, -0.12993618853651587, 0.07855706063848096, 0.004594616557816576, 0.009540291458631769, 0.0076081686633762855]","[0.08322299233735479, 0.06898406962427908, -0.009436726225883726, 0.5543646601052485, 0.06898014120863302, -0.009428672379056365, 0.0007236534662346993, -0.021450359232638043, 0.009198173215711706]","[0.06898561433361615, 0.7318980378050312, -0.12993618853651587, 0.06898014120863302, 1.2030237557663035, -0.12985406305031094, 0.01435379386796995, -0.0772814560096216, 0.004550954109265962]","[-0.009433221834066481, -0.12985869309145429, 0.07855706063848096, -0.009428672379056365, -0.12985406305031094, 0.5496514653018474, 0.0046078578601019115, 0.009547415025932633, 0.007570325234065676]","[0.0007272021495480967, 0.014384089526834684, 0.004594616557816576, 0.0007236534662346993, 0.01435379386796995, 0.0046078578601019115, 0.5891214898820586, -0.0021387547373413374, -0.0004110675158411374]","[-0.02144958768606035, -0.07727646400312624, 0.009540291458631769, -0.021450359232638043, -0.0772814560096216, 0.009547415025932633, -0.0021387547373413374, 0.5614157462622488, -0.036360393429214224]","[0.009196897784534492, 0.004547945206617399, 0.0076081686633762855, 0.009198173215711706, 0.004550954109265962, 0.007570325234065676, -0.0004110675158411374, -0.036360393429214224, 0.6444144023430342]"
"[1.127033523372373, 0.3229513870702779, -0.047630326671561134, 0.6719373099181906, 0.32295424654662397, -0.045277831777188804, 0.008671412476700507, -0.008097881228678685, 0.025550452126198112]","[0.3229513870702779, 1.3762007909792981, 0.16007903885737212, 0.3229137962815057, 0.9211236435003093, 0.15916518351362277, -0.006757123948420644, 0.021784412382609284, -0.026880337480248498]","[-0.047630326671561134, 0.16007903885737212, 1.2912112314437554, -0.047634348183594535, 0.1600640954744112, 0.8403197874342576, 0.01276818978662469, -0.04558722748032484, 0.05083485533002356]","[0.6719373099181906, 0.3229137962815057, -0.047634348183594535, 1.1270028973831443, 0.3229166641789804, -0.045281904625879096, 0.00865800767459467, -0.00810515497558422, 0.025560681205300344]","[0.32295424654662397, 0.9211236435003093, 0.1600640954744112, 0.3229166641789804, 1.37620821360975, 0.159150117291726, -0.0067577375469106025, 0.02178283514824156, -0.026877023230937113]","[-0.045277831777188804, 0.15916518351362277, 0.8403197874342576, -0.045281904625879096, 0.159150117291726, 1.3031110704809459, 0.011975617087022383, -0.045926971119093184, 0.051270616932512336]","[0.008671412476700507, -0.006757123948420644, 0.01276818978662469, 0.00865800767459467, -0.0067577375469106025, 0.011975617087022383, 0.5602325075346234, 0.006397005706053754, -0.00881104511844853]","[-0.008097881228678685, 0.021784412382609284, -0.04558722748032484, -0.00810515497558422, 0.02178283514824156, -0.045926971119093184, 0.006397005706053754, 0.5158578603481809, -0.07900758182589095]","[0.025550452126198112, -0.026880337480248498, 0.05083485533002356, 0.025560681205300344, -0.026877023230937113, 0.051270616932512336, -0.00881104511844853, -0.07900758182589095, 0.5670450915740757]"
"[0.6788380401121307, -0.04679281327849869, 0.02206098816755918, 0.22028115508827278, -0.04678815044962045, 0.022066858812808805, -0.0006225524914798973, 0.011127723581094692, 0.016359395429343632]","[-0.04679281327849869, 0.6715261966039519, 0.22579387584403232, -0.046764735122632455, 0.21296907097388915, 0.2256649187416137, -0.0016438681098236675, -0.006397096588096263, -0.0027893120697744045]","[0.02206098816755918, 0.22579387584403232, 0.7680463921094359, 0.022096354562482667, 0.225795085652402, 0.3093176835628996, -0.00673413803686996, -0.0017375777696722375, 0.003843955732984526]","[0.22028115508827278, -0.046764735122632455, 0.022096354562482667, 0.6788359235976829, -0.046760111469903345, 0.022102309891460448, -0.0006256483219185049, 0.01112853615696185, 0.01635857188465777]","[-0.04678815044962045, 0.21296907097388915, 0.225795085652402, -0.046760111469903345, 0.6715234296093597, 0.22566620632554263, -0.0016621551058271797, -0.006397244009005166, -0.0027907028645496805]","[0.022066858812808805, 0.2256649187416137, 0.3093176835628996, 0.022102309891460448, 0.22566620632554263, 0.7677014851309654, -0.0067588494023316835, -0.0017370604402195402, 0.0038457752165359876]","[-0.0006225524914798973, -0.0016438681098236675, -0.00673413803686996, -0.0006256483219185049, -0.0016621551058271797, -0.0067588494023316835, 0.5273859565521071, -0.00015384362906924426, 0.0033844728394650816]","[0.011127723581094692, -0.006397096588096263, -0.0017375777696722375, 0.01112853615696185, -0.006397244009005166, -0.0017370604402195402, -0.00015384362906924426, 0.46951198611218636, -0.0008350744365720151]","[0.016359395429343632, -0.0027893120697744045, 0.003843955732984526, 0.01635857188465777, -0.0027907028645496805, 0.0038457752165359876, 0.0033844728394650816, -0.0008350744365720151, 0.4977233639639432]"
