"[0.30237739005566744, -0.18324786740168889, 0.08847165943515604, 0.16908086961882135, -0.18280706123704143, 0.08717108761287315, 0.0029471441995836266, -0.03516250645382303, -0.05759662646588365]","[-0.18324786740168889, 0.36485356926730317, -0.1031464458181799, -0.18483171730738734, 0.22956929660986541, -0.10174078024876768, -0.00137984896273389, -0.01634224906921835, -0.03008032008865657]","[0.08847165943515604, -0.1031464458181799, 0.1850953404614786, 0.08923055601301966, -0.1028834213810571, 0.049648949050271084, -0.005207783735864976, -0.0014232240941675725, 0.0029480750308172976]","[0.16908086961882135, -0.18483171730738734, 0.08923055601301966, 0.30530006891748407, -0.18438885679863837, 0.08791857949401004, 0.003559481916777764, -0.03547121016490425, -0.05810620135860144]","[-0.18280706123704143, 0.22956929660986541, -0.1028834213810571, -0.18438885679863837, 0.3637850820213231, -0.10148156100968948, -0.0018794883334840602, -0.01626973025645652, -0.029954539118220262]","[0.08717108761287315, -0.10174078024876768, 0.049648949050271084, 0.08791857949401004, -0.10148156100968948, 0.18371005051689485, -0.005131223558996541, -0.0008846611001271335, 0.0037826644007574925]","[0.0029471441995836266, -0.00137984896273389, -0.005207783735864976, 0.003559481916777764, -0.0018794883334840602, -0.005131223558996541, 0.32967558964640203, -0.01832785940829986, -0.02797129946935821]","[-0.03516250645382303, -0.01634224906921835, -0.0014232240941675725, -0.03547121016490425, -0.01626973025645652, -0.0008846611001271335, -0.01832785940829986, 0.4006341238909586, 0.4386251012928829]","[-0.05759662646588365, -0.03008032008865657, 0.0029480750308172976, -0.05810620135860144, -0.029954539118220262, 0.0037826644007574925, -0.02797129946935821, 0.4386251012928829, 0.881618656995529]"
"[0.5153691258343993, 0.03612005011182776, -0.03471217521842387, 0.028496756599236835, 0.036782148194657194, -0.03437305134591732, -0.057374538223682756, 0.0353549848788197, 0.031595054996710364]","[0.03612005011182776, 0.5439967711983883, -0.050727347694713446, 0.03557349611355395, 0.058234254454563934, -0.05010841099519479, -0.05173169774323844, 0.08204451583286397, 0.07675985089203077]","[-0.03471217521842387, -0.050727347694713446, 0.5328197979314283, -0.03425341795856865, -0.051535750327624245, 0.045687365312822956, 0.05587157918619473, -0.06633713366581893, -0.06110419225836445]","[0.028496756599236835, 0.03557349611355395, -0.03425341795856865, 0.5148405629534414, 0.0362252716921155, -0.03392092786826497, -0.057237116004130686, 0.03433129846720648, 0.030721406286162004]","[0.036782148194657194, 0.058234254454563934, -0.051535750327624245, 0.0362252716921155, 0.5457078280124922, -0.050914696239473575, -0.055157103064730865, 0.08286504205592217, 0.07731649223252116]","[-0.03437305134591732, -0.05010841099519479, 0.045687365312822956, -0.03392092786826497, -0.050914696239473575, 0.531771941635221, 0.056738449085863014, -0.06524216881998934, -0.06001707181901864]","[-0.057374538223682756, -0.05173169774323844, 0.05587157918619473, -0.057237116004130686, -0.055157103064730865, 0.056738449085863014, 1.1131696652768162, 0.0022179311282407915, 0.019211056056589466]","[0.0353549848788197, 0.08204451583286397, -0.06633713366581893, 0.03433129846720648, 0.08286504205592217, -0.06524216881998934, 0.0022179311282407915, 0.6816601384630662, 0.1895122418262429]","[0.031595054996710364, 0.07675985089203077, -0.06110419225836445, 0.030721406286162004, 0.07731649223252116, -0.06001707181901864, 0.019211056056589466, 0.1895122418262429, 0.6772203173122766]"
"[0.4016151196209492, -0.023544683990139738, 0.01357401733011055, 0.016956023252666468, -0.02350893926320069, 0.013334517211261597, -0.002249225497460886, -0.0369133995277859, -0.03751815370710649]","[-0.023544683990139738, 0.4354344796805506, -0.023300591432412244, -0.02377000944747383, 0.05059600212386271, -0.02294022324000593, 0.003983052260576243, 0.04180766755112534, 0.036283206838451126]","[0.01357401733011055, -0.023300591432412244, 0.39839230286543675, 0.013710320545295954, -0.02329275494133636, 0.013368764513705092, -0.0027322835386135594, -0.03551663397308165, -0.03178288136494458]","[0.016956023252666468, -0.02377000944747383, 0.013710320545295954, 0.40189672294776446, -0.023734788439544983, 0.013468679347809022, -0.002217314276350362, -0.03727733909668672, -0.03785050154028061]","[-0.02350893926320069, 0.05059600212386271, -0.02329275494133636, -0.023734788439544983, 0.43535680755800443, -0.022932959763507118, 0.003915663925807616, 0.04174908584442054, 0.03621045134267348]","[0.013334517211261597, -0.02294022324000593, 0.013368764513705092, 0.013468679347809022, -0.022932959763507118, 0.3979471011187998, -0.002699858077560729, -0.0348024834386863, -0.03108915942041455]","[-0.002249225497460886, 0.003983052260576243, -0.0027322835386135594, -0.002217314276350362, 0.003915663925807616, -0.002699858077560729, 0.4711099459589952, 0.014358972159260892, 0.006553539372374986]","[-0.0369133995277859, 0.04180766755112534, -0.03551663397308165, -0.03727733909668672, 0.04174908584442054, -0.0348024834386863, 0.014358972159260892, 0.5489680269812383, 0.16666132409058765]","[-0.03751815370710649, 0.036283206838451126, -0.03178288136494458, -0.03785050154028061, 0.03621045134267348, -0.03108915942041455, 0.006553539372374986, 0.16666132409058765, 0.5715829411581105]"
"[0.2286309518641818, -0.019694450161345994, -0.010627764963372761, 0.16621168880069195, -0.019298134755768147, -0.009703100068507291, 0.10277419636376978, 0.08718962079629693, 0.19194707733349212]","[-0.019694450161345994, 0.06525592761768138, 0.001439985859225943, -0.01974351541494064, 0.00232921253101409, 0.0013184039828828468, -0.014887067210285492, -0.011645246641604691, -0.0257352002147481]","[-0.010627764963372761, 0.001439985859225943, 0.06431115685715212, -0.010636344416952742, 0.0013766754207126676, 0.0013312895589211262, -0.015731946335688373, -0.011523235108024488, -0.025616550994240553]","[0.16621168880069195, -0.01974351541494064, -0.010636344416952742, 0.2295533830875746, -0.019349269880740497, -0.00971252911112534, 0.10027155896104883, 0.08745145370446876, 0.1924634168326655]","[-0.019298134755768147, 0.00232921253101409, 0.0013766754207126676, -0.019349269880740497, 0.06514600762813742, 0.001260374837732009, -0.013773256260639204, -0.011188958073711845, -0.02470368201461979]","[-0.009703100068507291, 0.0013184039828828468, 0.0013312895589211262, -0.00971252911112534, 0.001260374837732009, 0.06410179488247253, -0.013927423595427667, -0.010750541450288966, -0.023875184281288216]","[0.10277419636376978, -0.014887067210285492, -0.015731946335688373, 0.10027155896104883, -0.013773256260639204, -0.013927423595427667, 0.790498089838983, 0.06544878221512943, 0.16437499464025962]","[0.08718962079629693, -0.011645246641604691, -0.011523235108024488, 0.08745145370446876, -0.011188958073711845, -0.010750541450288966, 0.06544878221512943, 0.1651144719141117, 0.2242437872802763]","[0.19194707733349212, -0.0257352002147481, -0.025616550994240553, 0.1924634168326655, -0.02470368201461979, -0.023875184281288216, 0.16437499464025962, 0.2242437872802763, 0.5556043758592875]"
"[0.1443197680703509, 0.061643290111843316, -0.06655480839323065, 0.0633053664214773, 0.06290580066182659, -0.06591827130024573, -0.11038486020772442, 0.032367439125894994, 0.02673538101617134]","[0.061643290111843316, 0.15111112043480096, -0.0702575148365325, 0.06117061340348542, 0.07173259810264085, -0.06955330826389658, -0.1081326723080443, 0.05155385320496409, 0.04378520385284007]","[-0.06655480839323065, -0.0702575148365325, 0.1535088470323121, -0.06610079969192183, -0.07161486072275954, 0.07210661989517426, 0.11367390637890747, -0.04638725329780931, -0.03902695681247866]","[0.0633053664214773, 0.06117061340348542, -0.06610079969192183, 0.14362762947030844, 0.062424696120607026, -0.06547125996499428, -0.11047641346944581, 0.031753231907598885, 0.026236903444665012]","[0.06290580066182659, 0.07173259810264085, -0.07161486072275954, 0.062424696120607026, 0.15372002830886336, -0.070903053180862, -0.112658990690439, 0.05245213747035437, 0.04451089124185671]","[-0.06591827130024573, -0.06955330826389658, 0.07210661989517426, -0.06547125996499428, -0.070903053180862, 0.15205991227486443, 0.11421025333256679, -0.04582148966536911, -0.038540014805545]","[-0.11038486020772442, -0.1081326723080443, 0.11367390637890747, -0.11047641346944581, -0.112658990690439, 0.11421025333256679, 0.9435768703111103, -0.05101827074030952, -0.043766752169234036]","[0.032367439125894994, 0.05155385320496409, -0.04638725329780931, 0.031753231907598885, 0.05245213747035437, -0.04582148966536911, -0.05101827074030952, 0.16850248009284102, 0.0790527215945098]","[0.02673538101617134, 0.04378520385284007, -0.03902695681247866, 0.026236903444665012, 0.04451089124185671, -0.038540014805545, -0.043766752169234036, 0.0790527215945098, 0.1541385004068888]"
"[0.784856387660811, -0.053316368422779, -0.0010308806314714132, 0.49740295745657076, -0.053532464270505446, -0.0008459790079375455, 0.1359199755093183, 0.0007536682056002243, 0.0016853431827623887]","[-0.053316368422779, 0.29420102152751465, 0.00011329276614336384, -0.053429431615704466, 0.00575283289637397, 9.217513731186029e-05, -0.01468264439315494, -9.063502445655745e-05, -0.00020269482888432715]","[-0.0010308806314714132, 0.00011329276614336384, 0.2884846807829138, -0.0010364744282253162, 0.00011231818033835802, 1.1173624285393264e-05, -0.00046278331398005856, -4.706730873115775e-05, -0.00010530097355792816]","[0.49740295745657076, -0.053429431615704466, -0.0010364744282253162, 0.786949884759476, -0.053657165965813464, -0.0008531800243791221, 0.1299740974676412, 0.0007573052383818675, 0.001693466074953973]","[-0.053532464270505446, 0.00575283289637397, 0.00011231818033835802, -0.053657165965813464, 0.29425071436807304, 9.47311299653784e-05, -0.013265932884373765, -8.916561572496612e-05, -0.00019940407144151268]","[-0.0008459790079375455, 9.217513731186029e-05, 1.1173624285393264e-05, -0.0008531800243791221, 9.47311299653784e-05, 0.28848008612603826, 7.849709493638853e-05, -4.3377217573394985e-05, -9.704205831780786e-05]","[0.1359199755093183, -0.01468264439315494, -0.00046278331398005856, 0.1299740974676412, -0.013265932884373765, 7.849709493638853e-05, 1.5860026215080179, 0.00018205966505837682, 0.0004105526410146042]","[0.0007536682056002243, -9.063502445655745e-05, -4.706730873115775e-05, 0.0007573052383818675, -8.916561572496612e-05, -4.3377217573394985e-05, 0.00018205966505837682, 0.2888273853156538, 0.000800064584456646]","[0.0016853431827623887, -0.00020269482888432715, -0.00010530097355792816, 0.001693466074953973, -0.00019940407144151268, -9.704205831780786e-05, 0.0004105526410146042, 0.000800064584456646, 0.2902587028067412]"
"[0.141371101289965, -0.08249688517463293, 0.050221286651193256, 0.11847573742377011, -0.0823003692638729, 0.049125295229964255, 0.01988268495246524, -0.20444929755257835, -0.3302495988741777]","[-0.08249688517463293, 0.08680257010199338, -0.03881144439746318, -0.08316378687494114, 0.06281496113787353, -0.038002584915035754, -0.011731603118644405, 0.14421712530038955, 0.22189174762331493]","[0.050221286651193256, -0.03881144439746318, 0.048419485734366344, 0.05062662553217419, -0.03872061496384251, 0.024062762502162164, 0.0061048577693610245, -0.09345004047130538, -0.14029813246301193]","[0.11847573742377011, -0.08316378687494114, 0.05062662553217419, 0.14328256230913253, -0.08296731469721592, 0.04952161358564139, 0.020495401921748937, -0.20610498414623044, -0.3329077276757229]","[-0.0823003692638729, 0.06281496113787353, -0.03872061496384251, -0.08296731469721592, 0.08651628803209306, -0.03791389191675166, -0.011801705023853713, 0.14384873349582078, 0.22132748022007254]","[0.049125295229964255, -0.038002584915035754, 0.024062762502162164, 0.04952161358564139, -0.03791389191675166, 0.047404890960128655, 0.005936393995214725, -0.09133723329281691, -0.1370641727711416]","[0.01988268495246524, -0.011731603118644405, 0.0061048577693610245, 0.020495401921748937, -0.011801705023853713, 0.005936393995214725, 0.09681493508568702, -0.025125472671037437, -0.04956044525056347]","[-0.20444929755257835, 0.14421712530038955, -0.09345004047130538, -0.20610498414623044, 0.14384873349582078, -0.09133723329281691, -0.025125472671037437, 0.4588663372774321, 0.6723201723546245]","[-0.3302495988741777, 0.22189174762331493, -0.14029813246301193, -0.3329077276757229, 0.22132748022007254, -0.1370641727711416, -0.04956044525056347, 0.6723201723546245, 1.1117764766967864]"
"[0.49854426420573594, -0.20865623864926472, 0.1015067300039795, 0.1934069916300627, -0.20813320888569906, 0.10007086329814914, -0.0005330623194182585, -0.011369825926102887, -0.02091887786590751]","[-0.20865623864926472, 0.5548140163160069, -0.11427353858778426, -0.2104996853343592, 0.24737888776575082, -0.11270698247485886, -0.004945575768295581, -0.012615710175250042, -0.020513217438326188]","[0.1015067300039795, -0.11427353858778426, 0.3633796709162266, 0.10239433308022555, -0.11396647389350668, 0.05576648674008368, -0.007805857386404636, 0.004354719306427866, 0.009232638317296645]","[0.1934069916300627, -0.2104996853343592, 0.10239433308022555, 0.5019690770695819, -0.20997414317211072, 0.1009454789288861, 0.00019803511292066433, -0.011501737037289902, -0.02117131884907392]","[-0.20813320888569906, 0.24737888776575082, -0.11396647389350668, -0.20997414317211072, 0.5536241135987263, -0.11240429765565176, -0.0056009439429993355, -0.012550893905938082, -0.020405679728404253]","[0.10007086329814914, -0.11270698247485886, 0.05576648674008368, 0.1009454789288861, -0.11240429765565176, 0.3618407329026038, -0.007674471235825919, 0.004531084092879277, 0.009535155784822127]","[-0.0005330623194182585, -0.004945575768295581, -0.007805857386404636, 0.00019803511292066433, -0.0056009439429993355, -0.007674471235825919, 0.543170308882668, -0.010849139206724612, -0.014538723859070537]","[-0.011369825926102887, -0.012615710175250042, 0.004354719306427866, -0.011501737037289902, -0.012550893905938082, 0.004531084092879277, -0.010849139206724612, 0.4226035941564657, 0.20575885124332755]","[-0.02091887786590751, -0.020513217438326188, 0.009232638317296645, -0.02117131884907392, -0.020405679728404253, 0.009535155784822127, -0.014538723859070537, 0.20575885124332755, 0.6834307562967437]"
"[0.1709192739087959, -0.0001229327975984051, -0.00013646672575319457, 0.0010367731718898038, -0.00012031500912430547, -0.00012961464056926087, -0.0020411821399586396, 0.0017735881423580678, 0.0036983867365958678]","[-0.0001229327975984051, 0.1699018883941489, 1.6310416592874473e-05, -0.00012350066744882044, 1.4344062689475119e-05, 1.5495467973232163e-05, 0.0002441223393202917, -0.0002119756241234104, -0.0004420667925663087]","[-0.00013646672575319457, 1.6310416592874473e-05, 0.16990560885230577, -0.0001370993465011522, 1.595644602266287e-05, 1.7473279427670045e-05, 0.00027663891370554385, -0.00023916990214322128, -0.0004988295159224325]","[0.0010367731718898038, -0.00012350066744882044, -0.0001370993465011522, 0.17092876774962684, -0.00012087188059831871, -0.00013022112804618094, -0.002052846300224732, 0.0017821181404622907, 0.0037161495700580517]","[-0.00012031500912430547, 1.4344062689475119e-05, 1.595644602266287e-05, -0.00012087188059831871, 0.1699012683797348, 1.5159592573010929e-05, 0.00023915598136290162, -0.00020743006358213162, -0.0004325766062895321]","[-0.00012961464056926087, 1.5495467973232163e-05, 1.7473279427670045e-05, -0.00013022112804618094, 1.5159592573010929e-05, 0.16990384772654762, 0.00026425223608495056, -0.00022759102506075514, -0.0004746678428251185]","[-0.0020411821399586396, 0.0002441223393202917, 0.00027663891370554385, -0.002052846300224732, 0.00023915598136290162, 0.00026425223608495056, 0.1745944310341002, -0.003685589073592461, -0.007676537001156585]","[0.0017735881423580678, -0.0002119756241234104, -0.00023916990214322128, 0.0017821181404622907, -0.00020743006358213162, -0.00022759102506075514, -0.003685589073592461, 0.17301381084239761, 0.0065192340520638815]","[0.0036983867365958678, -0.0004420667925663087, -0.0004988295159224325, 0.0037161495700580517, -0.0004325766062895321, -0.0004746678428251185, -0.007676537001156585, 0.0065192340520638815, 0.18348085221350333]"
"[0.48484116267466654, 0.007276224077626993, -0.0066331979438610566, 0.004319580259086804, 0.007375518719410088, -0.006534984431720926, 0.003204274113221836, 0.013364502088377327, 0.011671887406156618]","[0.007276224077626993, 0.5122613792660738, -0.021513139367470256, 0.006791660527071124, 0.031867323287758646, -0.020925116596116015, 0.07291090703203486, 0.08112666433154078, 0.08731498891047125]","[-0.0066331979438610566, -0.021513139367470256, 0.4963331771493847, -0.006288164710078354, -0.021580070067944223, 0.015509164887350171, -0.04537793827210251, -0.05399089038141989, -0.05498627289636299]","[0.004319580259086804, 0.006791660527071124, -0.006288164710078354, 0.4846375755808184, 0.00688562345409583, -0.006198676065042515, 0.002066554152266812, 0.01208421255703689, 0.010463076432285267]","[0.007375518719410088, 0.031867323287758646, -0.021580070067944223, 0.00688562345409583, 0.512316908616142, -0.020997181387555564, 0.07121698144312882, 0.08080197486744418, 0.08670926775573903]","[-0.006534984431720926, -0.020925116596116015, 0.015509164887350171, -0.006198676065042515, -0.020997181387555564, 0.49554780924887426, -0.043136360149201754, -0.052289234356792544, -0.05312298464866746]","[0.003204274113221836, 0.07291090703203486, -0.04537793827210251, 0.002066554152266812, 0.07121698144312882, -0.043136360149201754, 0.9577374597538749, 0.24554294015705488, 0.27070523984104455]","[0.013364502088377327, 0.08112666433154078, -0.05399089038141989, 0.01208421255703689, 0.08080197486744418, -0.052289234356792544, 0.24554294015705488, 0.7283765599233312, 0.26640429377934577]","[0.011671887406156618, 0.08731498891047125, -0.05498627289636299, 0.010463076432285267, 0.08670926775573903, -0.05312298464866746, 0.27070523984104455, 0.26640429377934577, 0.7830265125303217]"
